,index_jjj,index_spotify,year_x,title,artist,duration,country,position of year,name,artists,year_y,release_date,duration_ms,valence,danceability,speechiness
120,202,14607,1995,Gangsta's Paradise,Coolio,4:01,USA,3,Gangsta's Paradise,"['Coolio', 'L.V.']",1995,1995-11-07,240693,0.387,0.647,0.0593
121,203,52272,1995,Kitty,The Presidents Of The United States Of America,3:23,USA,4,Kitty,['The Presidents Of The United States Of America'],1995,1995,203133,0.55,0.498,0.254
122,204,33578,1995,It's Oh So Quiet,Björk,3:39,Iceland,5,It's Oh so Quiet,['Björk'],1995,1995-06-13,217733,0.2,0.474,0.0595
123,205,87233,1995,Heroin Girl,Everclear,2:23,USA,6,Heroin Girl,['Everclear'],1995,1995-01-01,143400,0.34600000000000003,0.363,0.107
124,207,70414,1995,Where The Wild Roses Grow   (feat. Kylie Minogue),Nick Cave & The Bad Seeds,3:57,Australia,8,Where the Wild Roses Grow - 2011 - Remaster,"['Nick Cave & The Bad Seeds', 'Kylie Minogue']",1996,1996,237080,0.163,0.336,0.0319
125,210,14625,1995,Lump,The Presidents Of The United States Of America,2:15,USA,11,Lump,['The Presidents Of The United States Of America'],1995,1995,134200,0.8640000000000001,0.499,0.0386
126,212,52305,1995,Morning Glory,Oasis,5:03,England,13,Morning Glory,['Oasis'],1995,1995-10-02,303533,0.136,0.33399999999999996,0.0932
127,213,33410,1995,Last Goodbye,Jeff Buckley,4:36,USA,14,Last Goodbye,['Jeff Buckley'],1994,1994,275720,0.523,0.539,0.038
128,214,165671,1995,Vow,Garbage,4:30,USA,15,Vow,['Garbage'],1995,1995,270133,0.36200000000000004,0.486,0.0443
129,218,33537,1995,I Got A Girl,Tripping Daisy,4:06,USA,19,I Got A Girl,['Tripping Daisy'],1995,1995-01-01,245707,0.6859999999999999,0.617,0.0498
130,219,14777,1995,My Friends,Red Hot Chili Peppers,4:03,USA,20,My Friends,['Red Hot Chili Peppers'],1995,1995-09-12,248640,0.319,0.439,0.026000000000000002
131,220,70233,1995,Queer,Garbage,4:37,USA,21,Queer,['Garbage'],1995,1995,276493,0.396,0.5529999999999999,0.0277
132,221,14441,1995,Lightning Crashes,Live,5:26,USA,22,Lightning Crashes,['Live'],1994,1994-01-01,325600,0.4270000000000001,0.385,0.0435
133,227,14732,1995,Aeroplane,Red Hot Chili Peppers,4:45,USA,28,Aeroplane,['Red Hot Chili Peppers'],1995,1995-09-12,285067,0.603,0.639,0.0634
134,228,119969,1995,Evidence,Faith No More,4:54,USA,29,Evidence - 2016 Remaster,['Faith No More'],1995,1995,293600,0.627,0.6779999999999999,0.031
135,229,33584,1995,Carnival,Natalie Merchant,5:59,USA,30,Carnival,['Natalie Merchant'],1995,1995,361107,0.802,0.601,0.0732
136,230,14691,1995,Time Bomb,Rancid,2:24,USA,31,Time Bomb,['Rancid'],1995,1995-08-15,144333,0.961,0.6459999999999999,0.0536
137,232,56146,1995,Everything Zen,Bush,4:38,England,33,Everything Zen,['Bush'],2014,2014-10-14,278133,0.324,0.48,0.0484
138,235,70200,1995,Black Steel,Tricky,5:40,England,36,Black Steel,['Tricky'],1995,1995-01-01,339893,0.735,0.44299999999999995,0.0819
139,236,14721,1995,This Is A Call,Foo Fighters,3:55,USA,37,This Is a Call,['Foo Fighters'],1995,1995-07-04,233360,0.326,0.261,0.0638
140,237,14774,1995,Common People,Pulp,5:52,England,38,Common People,['Pulp'],1995,1995-10-30,351627,0.569,0.314,0.038
141,238,14658,1995,You Oughta Know,Alanis Morissette,4:08,Canada,39,You Oughta Know - 2015 Remaster,['Alanis Morissette'],1995,1995,249493,0.41100000000000003,0.665,0.0576
142,239,14754,1995,Wynona's Big Brown Beaver,Primus,4:24,USA,40,Wynona's Big Brown Beaver,['Primus'],1995,1995-01-01,261427,0.5760000000000001,0.589,0.0543
143,241,119928,1995,The Diamond Sea,Sonic Youth,5:29,USA,42,The Diamond Sea - Radio Edit,['Sonic Youth'],1995,1995-09-26,328782,0.289,0.397,0.0332
144,243,14469,1995,Better Man,Pearl Jam,4:29,USA,44,Better Man,['Pearl Jam'],1994,1994-11-22,268587,0.267,0.445,0.0387
145,244,14521,1995,Glory Box,Portishead,5:04,England,45,Glory Box,['Portishead'],1994,1994-01-01,308627,0.207,0.51,0.0361
146,245,52329,1995,Geek Stink Breath,Green Day,2:16,USA,46,Geek Stink Breath,['Green Day'],1995,1995-10-10,135293,0.7909999999999999,0.51,0.0431
147,248,14657,1995,More Human Than Human,White Zombie,4:31,USA,49,More Human Than Human,['White Zombie'],1995,1995,268760,0.54,0.6729999999999999,0.0707
148,252,103820,1995,Country House,Blur,3:57,England,53,Country House - 2012 Remaster,['Blur'],1995,1995-09-11,236960,0.589,0.331,0.0924
149,256,121263,1995,"Hold Me, Thrill Me, Kiss Me,   Kill Me",U2,4:45,Ireland,57,"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",['U2'],2002,2002-01-01,284600,0.34700000000000003,0.368,0.0433
150,259,103844,1995,Sparky's Dream,Teenage Fanclub,3:17,Scotland,60,Sparky's Dream,['Teenage Fanclub'],1995,1995-05-29,197333,0.35200000000000004,0.47700000000000004,0.0743
151,262,69929,1995,Smash It Up,The Offspring,3:27,USA,63,Smash,['The Offspring'],1994,1994-04-08,640200,0.20600000000000002,0.342,0.107
152,263,103852,1995,Stayin' Alive,N-Trance,4:06,England,64,Stayin' Alive,"['N-Trance', 'Ricardo Da Force']",1995,1995-09-11,245907,0.826,0.805,0.0771
153,264,14698,1995,Boombastic,Shaggy,4:09,Jamaica,65,Boombastic,['Shaggy'],1995,1995-07-11,249933,0.7809999999999999,0.867,0.361
154,266,52284,1995,"Baby Did A Bad, Bad Thing",Chris Isaak,2:56,USA,67,Baby Did a Bad Bad Thing,['Chris Isaak'],1995,1995,174453,0.57,0.547,0.0768
155,268,151714,1995,(Let's Go) Smoke Some Pot,Dash Rip Rock,2:16,USA,69,(Let's Go) Smoke Some Pot,['Dash Rip Rock'],2000,2000-01-01,136187,0.606,0.469,0.0875
156,269,14795,1995,I'll Stick Around,Foo Fighters,3:53,USA,70,I'll Stick Around,['Foo Fighters'],1995,1995-07-04,232533,0.255,0.306,0.0822
157,270,14539,1995,All Over You,Live,4:00,USA,71,All Over You,['Live'],1994,1994-01-01,239547,0.35200000000000004,0.32,0.0572
158,274,52300,1995,Warped,Red Hot Chili Peppers,5:05,USA,75,Warped,['Red Hot Chili Peppers'],1995,1995-09-12,304680,0.244,0.25,0.14800000000000002
159,275,13734,1995,21st Century (Digital Boy),Bad Religion,2:47,USA,76,21st Century (Digital Boy),['Bad Religion'],1990,1990,169013,0.633,0.447,0.0565
160,278,14632,1995,Alright,Supergrass,3:02,England,79,Alright,['Supergrass'],1995,1995-05-15,180880,0.701,0.467,0.0775
161,279,14611,1995,Brain Stew,Green Day,3:13,USA,80,Brain Stew,['Green Day'],1995,1995-10-10,193000,0.337,0.5589999999999999,0.302
162,282,14789,1995,Army Of Me,Björk,3:54,Iceland,83,Army of Me,['Björk'],1995,1995-06-13,234333,0.46799999999999997,0.462,0.0327
163,284,14656,1995,Hand In My Pocket,Alanis Morissette,3:40,Canada,85,Hand in My Pocket - 2015 Remaster,['Alanis Morissette'],1995,1995,222013,0.6679999999999999,0.657,0.0248
164,285,14425,1995,Waterfalls,TLC,4:40,USA,86,Waterfalls,['TLC'],1994,1994-11-15,279507,0.757,0.77,0.0828
165,287,33694,1995,Grind,Alice In Chains,4:45,USA,88,Grind,['Alice In Chains'],1995,1995-10-30,284640,0.364,0.39299999999999996,0.0367
166,288,52020,1995,Grace,Jeff Buckley,5:22,USA,89,Grace,['Jeff Buckley'],1994,1994,322040,0.18899999999999997,0.546,0.0354
167,289,33679,1995,All I Really Want,Alanis Morissette,4:43,Canada,90,All I Really Want - 2015 Remaster,['Alanis Morissette'],1995,1995,284093,0.36200000000000004,0.562,0.203
